11,8427
31,57125,57126
44,90,91,2906,2907,15950,15949,15829,15828,32639,29787,9362,31589,32640,32716,1053,789,794,1134,1133,1314,1259,23218,23201,6644,6643,5831,6884,6885,5371,1845,53694,9507,9506,43291,7908,2501,8150,2373,2372,2557,2707,2887,2886,3783,3784,1206,5162,8654,3805,3786,3700,12823,14039,17334,40051,572,3684,5298,12553,12575,12630,12631,3602,15607,15608,16131,19184,8709,13860,3598,13897,14743,9181,9180,8655,8696,8697,8698,8771,9371,10358,12824,6027,6026,8530,9206,11287,2617,2925,3088,8970,7566,7370,7369,34123,9529,8723,10263,13518,9624,38651,7268,7267,5427,10126,23407,25331,7924,7909,22195,22637,22954,2712,2717,13777,20086,14794,14939,15550,15365,15364,15366,55009,55010,55011,55012,55252,55253,17620,121,107,132,135,53072,484,1278,2154,2155,3385,3387,4865,5730,5732,5735,6976,9342,9798,9787,9903,40202,10483,10484,11863,11873,11874,11875,13033,13032,13499,26510,53179,53273,54947,13040,15101,15102,16627,17583,15675,9177,15860,411,407,17981,18415,20171,18472,18942,18945,18978,19048,19742,19764,19956,15306,12785,15892,15895,18496,18492,18478,18493,18494,20030,22275,16796,17420,17419,13925,14009,14282,45400,18186,18187,11657,3605,11658,18215,18212,16600,20366,18622,16482,16574,16676,12825,13855,8663,8664,22944,15042,16904,11922,11921,15630,27617,27618,28603,30267,12379,5602,19945,1242,1243,1244,4907,8173,11323,11324,11325,44284,13296,20137,20138,20416,20665,20666,20667,83178,81146,5966,5965,6045,6104,6320,6321,18624,7912,7524,27520,27725,13989,13990,14270,3189,1625,5254,5419,13118,6051,26937,18382,18383,23356,23328,3467,3466,4496,5050,4957,5165,5275,6302,9823,10810,10811,19913,15299,768,16415,5252,283,56262,56263,18096,20181,18679,18784,4456,3399,8604,8706,9278,11754,11677,11755,12332,38946,38947,38948,44066,45804,38733,38734,40395,8799,8287,10386,10385,10387,10388,18474,16678,17281,13074,33541,26935,19929,20036,5891,5858,5857,5865,5892,5938,5945,14885,16893,16892,20037,20550,20172,20520,83,80,84,85,229,1046,1613,1611,6075,12798,12930,15697,15659,5163,15672,9179,15724,9093,9094,5547,15048,15049,15749,15764,15094,73956,26526,22971,22551,23102,23422,176,175,23423,23436,23435,26490,8971,22758,20694,20727,20592,20679,16558,15635,15633,16559,4966,16908,16977,16976,15615,18266,20302,13476,6346,23203,23202,23212,23217,23250,23252,23253,23259,12876,23354,18566,17528,17919,18233,18344,7820,7997,9843,8224,1911,14429,15790,15914,15939,16060,18287,18289,24858,12891,54778,25814,23383,2450,1230,2622,6658,9491,9492,11671,14138,22657,22658,27169,32577,32578,37408,20974,13749,2529,31208,29862,27682,1803,1809,1810,32788,14769,14768,19700,19701,19702,38690,44495,44496,60987,60118,61942,61001,59701,61002,61003,61004,61005,61006,61166,65051,73418,78964,78965,79603,34086,18395,12119,4036,18443,9262,9260,7969,12333,15758,15967,18444,18473,18512,18567,19028,18912,18911,18921,19066,22354,20521,2576,3415,3419,3418,31804,29985,961,537,21757,22092,23804,23805,23806,23915,24031,25834,29986,27479,21456,20900,25887,22620,22000,5209,7610,30736,27956,2307,29383,9242,8586,14893,14925,16912,17405,9454,12783,15933,15934,44130,15779,15788,13278,13277,16213,12352,16214,56752,41663,40484,40191,5394,16490,24885,23450,20547,21285,21287,21571,21745,22053,23010,24371,24372,24449,26711,23536,16450,23538,23567,23774,23775,24412,17962,3328,18947,24549,24547,24546,24551,15636,13566,13579,13697,14000,14001,46791,80827,80836,80837,81326,14694,40804,40485,40892,41080,26948,28414,31862,31863,31864,32257,32256,32188,33454,33512,7762,6469,25899,29348,32498,36848,27616,29176,6392,6306,27942,33087,32456,30530,28455,31047,13689,31474,30930,30245,29919,30018,30248,30249,30476,32473,28109,28110,30738,31073,33542,33724,33725,33726,34919,35406,35407,30961,30963,31075,31183,28559,28706,28081,5405,28605,28786,28964,29046,29109,17116,17158,22691,80054,4558,9799,13290,13291,13643,14619,30574,25447,23597,24580,22945,25340,24553,23362,24562,24565,24723,24797,24836,24838,25025,25106,25326,25843,25152,25151,25827,16295,36234,31432,31184,30106,30107,15455,9074,30110,30180,30181,30184,31323,25237,7455,6797,18808,18809,41486,41488,42473,31325,31414,31364,31365,31366,24381,22314,22791,21619,16527,21673,21726,23291,23260,23262,23264,23266,23273,23288,15356,15317,1682,1638,1637,1673,1674,14820,14819,22296,39290,45241,46197,46198,46989,24898,24886,25521,32426,30665,30664,32294,32377,34913,35718,29251,5474,5499,18216,18646,18647,20522,20645,20648,20649,20875,21426,22049,22051,22355,24214,36831,32862,31475,31532,27497,27498,29175,37153,31546,24013,24047,3900,24370,24080,24072,23840,24076,24081,24373,24375,24233,27365,15868,14687,15870,16836,17650,17704,18680,18705,19112,19151,19135,19134,43373,54147,25416,25287,25436,25904,26012,26013,13880,26077,26036,20695,22059,22058,24807,26580,26239,13854,26322,26352,26394,10684,3169,10685,16032,15836,26395,26456,26503,26581,26602,26605,29270,28752,29452,17046,16978,4383,17365,17362,4473,23125,23072,23064,23137,23099,21141,51912,12323,35857,31772,31992,2235,31996,32743,31368,31874,34859,34864,25888,25497,25705,25706,26521,17863,17862,17864,17865,57644,28214,36757,38188,27931,33860,26557,27121,27239,26899,30400,30401,33260,8558,8557,62203,26728,26491,27183,25854,27075,27130,27131,27159,9920,3082,59097,5912,2975,8202,8203,9953,39763,35637,31805,31821,31823,32931,34983,34984,35170,34763,42031,57395,35192,29404,29403,29405,29917,27641,27644,29918,32773,32757,17380,13949,13484,50690,50247,51625,51626,51627,36486,32666,36488,32864,32947,36693,1703,1702,6430,34605,34604,34581,28356,29575,29593,29522,29524,29686,29687,34909,34910,17072,17091,34946,33826,1571,33903,29008,36426,32954,33041,34592,35776,18602,35777,35860,11681,14392,14391,2618,15279,15787,57228,57290,57291,35914,28303,28304,34648,36697,36752,31418,30671,35899,35900,37056,12116,11251,11285,4885,24066,38424,75800,8064,8063,40276,39031,35431,33944,33945,44058,36479,36480,40482,38366,39510,39511,39512,39606,38492,38493,39194,18162,22278,57657,57658,83495,83498,83588,36657,35976,36169,6695,42498,42499,42500,36220,36400,26855,27220,27363,24247,24248,24322,28270,22746,20898,22747,24490,27274,52233,51543,54764,54766,54821,55419,1849,525,27237,39376,39760,39761,39464,39465,39466,39468,38783,39469,39473,39474,39567,39531,39568,39594,7600,39595,39601,36811,36829,22521,22522,36830,37340,16538,22761,15794,45481,45494,67192,36754,36568,36591,12722,1276,37751,39127,39128,39129,39130,55516,2220,32412,7273,35513,42368,2798,2797,13155,13157,13156,38969,38968,5117,5116,5118,5119,53496,53497,34524,34525,37543,31722,36756,36921,37028,41580,41215,41261,22020,22022,27965,27966,27967,28237,33867,33868,43957,46701,38674,43869,54615,14410,14409,50209,50210,50212,55485,50288,43279,44720,43955,37556,37550,37599,36401,36941,36943,36978,36994,37256,34782,32100,33284,33285,34781,30640,30676,32837,47092,47093,47094,47237,47568,43078,12589,12590,36823,49727,34532,49728,49729,38754,38755,39764,39765,39832,12692,43936,43938,51137,55052,55162,55163,55164,75830,39921,40052,40252,40258,40286,15791,12470,15792,48232,48247,45359,46407,46409,46423,46363,46364,46365,46366,46367,49877,49874,49876,53433,53434,53435,76328,50303,43441,43380,10880,10879,50301,50264,51337,50297,36833,36304,63911,57652,41697,40795,45113,32549,57649,48832,44721,43956,37766,37966,37962,34156,34155,36126,37963,37964,37965,37969,38015,38071,42222,44188,45106,46237,47121,45577,46142,43159,63376,37400,37458,37731,7781,196,73576,83824,67374,67268,41680,44844,31652,28431,43910,40429,27117,27120,50601,55619,61608,57072,60963,50118,50119,38141,38602,38111,38603,39033,40006,39643,39644,39917,34184,2258,38243,39533,39534,39537,39549,39548,39918,29761,39919,44292,39607,39655,39667,44293,43625,43723,9385,20552,19207,19225,19226,20553,12373,40199,43292,44030,84265,55551,47253,48336,46277,47159,47962,47227,48151,46539,46536,4145,46737,46983,48152,47011,40358,74421,50538,46036,69112,74423,81969,55778,35242,35243,42632,42633,56111,56114,33985,33986,33994,34085,34118,34166,37778,33760,27609,33761,34872,37777,42673,14320,49696,43862,43788,43863,43964,44107,44105,27437,10430,27438,44106,44108,44258,44472,61890,33679,33680,66902,34696,34936,35080,35468,36102,51263,50227,46171,50229,50901,51295,51297,53071,53070,63155,60964,51384,47597,48329,48447,48567,48041,48040,46202,50489,54641,54642,48498,45589,49113,49114,48569,47771,47824,46747,48426,48893,51567,47845,47846,51385,49629,49630,50166,50509,50721,50420,50419,50645,51152,51181,51179,51239,51489,49832,54280,51537,51538,52079,52089,55378,53369,56982,42044,17765,17766,17767,19008,19005,18753,20356,38092,38229,27460,57579,75980,79317,79576,78754,21715,21714,47723,73409,40458,49623,49625,52375,75828,75726,40389,42900,58459,40039,3503,3500,3499,8239,11301,11292,19278,9041,9042,38979,64098,64099,64100,64101,41136,41137,116,44221,49862,58460,58478,41581,41993,39929,38851,39930,39931,39933,39934,40222,42058,42059,56900,62100,31752,31579,31982,31984,32304,61109,32597,32598,59434,61110,61169,53137,53248,52493,52642,53249,55383,55566,55567,55588,54892,55914,55915,56303,56937,56938,63298,63297,63299,63888,57580,63575,59099,8450,8449,15357,15318,15331,15394,15396,345,53824,40043,42331,42267,42332,42374,42375,44118,45149,45150,45410,8852,8851,37958,37959,54404,51853,76329,56530,56779,14373,14372,43329,53544,58018,84600,79682,79681,79679,79702,63490,61730,63377,63491,63523,37017,37013,69303,47293,47292,46762,46761,49594,64319,64321,64860,66534,63649,65642,63579,60176,17526,467,52655,52656,60177,60104,63112,43319,45776,49817,63150,63146,70825,38730,40942,41189,71444,69224,47538,47539,84706,65678,13933,18304,66206,65340,65218,65549,65707,65992,66250,66251,66295,63914,63582,63717,4969,4725,63715,63815,66146,84832,56215,55309,55310,45031,15584,50059,4041,4040,50060,49540,80512,56216,56127,61523,61342,61744,61402,62204,61824,62316,62859,63095,63124,63043,63041,64849,71481,65476,1822,1821,65252,66731,27477,15765,68168,68166,74554,43998,43996,43999,69274,66507,66263,66264,66510,69443,69484,69485,69708,70492,70748,1816,1756,6473,29056,29057,29058,29066,29106,29108,33737,33738,37598,70750,71387,72263,37953,37952,71316,71961,72232,71048,71046,71065,71277,70133,72172,72387,72663,71259,71201,71261,71202,71168,71203,71204,71250,71275,72860,72994,73088,67238,67277,67389,73729,73651,83946,56277,56426,56513,56514,13920,57255,56783,56784,57016,22224,80076,57297,57364,57423,57469,77260,77016,77261,77268,78535,80055,80209,81479,84814,85944,52217,57051,78655,78654,83422,55255,55254,55795,85609,56781,19769,56980,56986,56987,82352,29677,28536,28552,29716,34998,60652,60656,60657,73673,79703,79736,79737,79883,55063,79644,79646,79647,81659,81660,81661,81685,81913,81914,82722,83317,79885,79911,80108,75238,43911,43913,44540,45408,53086,70932,66942,66951,67758,15827,15814,67757,76493,70934,74004,75237,75240,80491,80536,80297,80306,85637,85404,82623,56217,81213,24754,24753,27027,59483,81214,81887,81945,82066,83174,83175,83179,83180,83181,83200,83197,83214,83215,83420,83421,83438,83492,81994,81183,76911,76914,77082,78310,78541,78542,80841,80842,82927,82928,85517,82503,85518,85802,85405,85407,85578,85592,85611,85308,85210,85384,85548,85549,56150,85585,85715,85643,85644,85645,85646,85967,395,394,396,13191,2908,81684,80092,82029,82087,85803,81720,81999,82497,82498,85879,27744,28898,28895,28894,37690,37636,35278,35317,35529,37184,36819,36820,37044,37072,37073,37296,37316,37378,37586,30059,28531,32339,32340,37584,64088,63963,41273,66556,28275,49163,53948,78232,51226,68073,68074,37582,37691,83202,72528,72553,72603,72604,72686,72687,70035,74290,74291,71563,73021,75067,74015,74014,74013,74271,74272,74273,39036,75838,75840,46073,75632,75633,75634,75367,75602,72256,72260,72261,72375,72374,72376,71821,72876,72421,72673,71710,71564,71922,71988,71990,71886,71450,71977,71978,71979,71991,71887,72206,72343,72344,72345,73116,76770,77202,83131,44125,71938,71939,71940,61525,22603,19052,45433,69255,83628,52736,52735,55511,54914,54916,84847,73839,76980,76983,84305,84306,66054,66053,66218,66219,66255,61821,63693,63694,63697,63698,66347,66697,66856,66928,67376,67393,67587,67718,67719,67795,67949,67017,83545,83546,83548,55577,55578,7776,3077,9545,17471,17472,41042,41043,43848,43849,55594,55596,57147,57148,56794,77610,76677,76675,53378,76805,48148,48947,76843,45599,76844,76934,76949,78603,77331,77414,45411,45357,45358,50825,50826,51464,51472,51473,51498,51497,51499,48306,42751,61138,65028,28831,73982,59325,59326,63889,63890,83558,83560,83657,58630,58814,58955,74955,75900,68800,68799,42402,74530,74531,78710,78772,79286,79399,79400,79731,79732,79733,84069,84124,78699,54483,51459,55291,35137,55106,55058,55152,78287,56812,56813,52419,52420,52818,53795,43725,46808,46809,83821,83820,83822,83823,57651,54870,7416,54985,55170,83402,83403,46627,49335,10704,10703,46739,49675,49840,49841,49981,43493,43950,43951,43952,43953,4734,4501,9187,81229,81230,42860,48310,31690,74331,74332,82091,82092,55118,55119,70589,70590,63896,36592,67190,42396,1915,1916,57569,26492,27234,27233,26674,78948,75082,75839,36060,64044,64037,64036,64045,28791,35430,42699,52267,53723,55055,55056,56058,37057,80813,81138,81137,81258,81259,82332,82572,83329,83349,83350,86102,66177,68877,68878,33910,33911,35371,35372,29592,51690,51939,4976,4975,17008,51938,51644,54316,54719,34783,1356,35127,35300,35402,35408,35525,35546,27240,38187,38186,32690,23363,38975,27364,34206,34753,13632,31547,31548,77418,55213,55214,32425,16945,29733,29745,29746,32650,33358,33489,37805,37804,63568,63569,25828,33930,33931,35290,38571,38569,38568,38570,28318,29086,25350,25348,25978,25979,26852,63407,63395,42696,42697,34585,28319,35019,29033,29029,33511,32258,60341,17588,40184,9939,49138,13751,2547,35195,38630,20914,23384,25811,22682,25812,39046,27334,27335,27336,23011,42125,4455,4495,4498,18783,18782,14272,11631,8916,13207,16544,16543,23825,25992,42495,42496,43361,7951,2964,43310,43311,20344,21066,13765,39028,52543,52477,53003,53004,40506,53328,15859,15923,15922,17943,38907,40369,40519,38678,13149,15527,44668,44669,41007,41008,55326,55327,44036,44037,80804,13861,22796,84155,16141
95,729,4962
274,275
280,281
294,3472,4460,13309,13304,13867,14964,15676,15670,15579,15671,17792,17793,18406,53239,3497,3514,10206,15470,15475
346,359,15631,15632
356,4337,45969
517,5085,5056,5086
